rung,name,probe,control_pooled,control_DNS,control_STDUP,control_UPS,control_WAK,control_DNS_sd,control_STDUP_sd,control_UPS_sd,control_WAK_sd
0,global_z,linear,0.6788098740056732,0.660695238095238,0.7551982599037393,0.6754584980237155,0.6238875,0.006620078499716129,0.0023413794847646726,0.009854985879841295,0.005306708444402132
0,global_z,forest,0.8499083389723261,0.8327071428571428,0.9202732321362458,0.8440988142292489,0.8025541666666667,0.006892670036114977,0.0009032983259413926,0.008384087177076017,0.005654256478038884
0,global_z,mlp,0.735749563627977,0.7129095238095238,0.8489527952610144,0.7236442687747034,0.6574916666666667,0.0057517903650626525,0.0034109154854154427,0.009857090595008378,0.012067631680450008
1,mean_center,linear,0.09958797291060544,0.10197380952380952,0.0798067382450944,0.10622134387351778,0.11034999999999999,0.004931089763784815,0.004981210431394821,0.014058317793829423,0.01354150961447389
1,mean_center,forest,0.9997433380207856,0.9998047619047619,0.999918178452425,0.9996462450592885,0.9996041666666666,0.00020072854832679676,5.7141546737675526e-05,0.0002548564373379577,0.00027401971745757384
1,mean_center,mlp,0.7613442769467245,0.7224,0.9386479081821548,0.7586916996047431,0.6256374999999998,0.012531498296152925,0.0023194530638577507,0.004330395350537032,0.012319024991293387
2,scale_only,linear,0.8403996882443819,0.8276190476190477,0.8946245834875972,0.8370592885375494,0.8022958333333333,0.003207046521690903,0.0015827783349851795,0.00522939054657446,0.004071155309682473
2,scale_only,forest,0.999564611567059,0.9996547619047618,0.999891151425398,0.999691699604743,0.9990208333333334,0.00021983553943593503,6.033566741570798e-05,0.0002939121239038006,0.0004569106708220793
2,scale_only,mlp,0.8504999752755373,0.8257738095238094,0.9452898926323584,0.8471778656126482,0.7837583333333333,0.00867216351714077,0.002980598203105951,0.010047878146889037,0.008546665204108076
3,mean_scale,linear,0.05706950047056137,0.05848809523809524,0.04890225842280637,0.06361264822134387,0.057275,0.006073278196319235,0.0034643651229321437,0.007992619336891785,0.00397969564546783
3,mean_scale,forest,0.9992681956616423,0.9992142857142857,0.9998774527952609,0.9994268774703556,0.9985541666666666,0.00021362331482055311,8.863056453429565e-05,0.0002558697109925828,0.0004396277623677021
3,mean_scale,mlp,0.40609484593535744,0.31575714285714285,0.7189911144020733,0.3441561264822134,0.24547500000000003,0.014463743376075934,0.011426594695145518,0.017511153637790985,0.023943525315080254
4,full_whiten_recolor,linear,0.0221773572659982,0.024150000000000005,0.01711366160681229,0.023116600790513836,0.024329166666666666,0.0019348919063716201,0.0015748130487523567,0.0024166655667851662,0.004330512904251516
4,full_whiten_recolor,forest,0.29122836622716014,0.259247619047619,0.4012636060718252,0.2700355731225296,0.23436666666666667,0.0015145599107846417,0.005805663103844877,0.008040626831404198,0.007063799659177778
4,full_whiten_recolor,mlp,0.0379652200937527,0.023771428571428572,0.08283783783783782,0.020893280632411065,0.024358333333333333,0.0014281100445412908,0.028095370102728306,0.00268534463080953,0.0018946539371786772
