model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
SVM,1,690,0.5231884057971015,0.4449342607263202,0.4659103345171819,"{'clf__C': 5, 'clf__gamma': 'scale'}",51.927293799992185,0.7007519999751821
SVM,2,520,0.8115384615384615,0.7470633090348138,0.7332044439233593,"{'clf__C': 1, 'clf__gamma': 'scale'}",51.922467600001255,0.9077674998843577
SVM,3,594,0.8720538720538721,0.7555542924434806,0.7815714738216111,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.00443420000374,0.8499775000382215
SVM,4,556,0.697841726618705,0.6697356465326746,0.6341242044652566,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.41381189998356,0.9162814999581315
SVM,5,708,0.6497175141242938,0.6388056939420466,0.6140256602047128,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.075904600002104,0.8942674999707378
SVM,6,583,0.758147512864494,0.6953829281360927,0.6848495421365729,"{'clf__C': 1, 'clf__gamma': 'scale'}",49.683282700018026,0.8249010000145063
SVM,7,600,0.69,0.6684105524830786,0.6565529309499281,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.58095149998553,0.9890255000209436
SVM,8,574,0.7700348432055749,0.6703685849034686,0.6604371379814242,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.69945399998687,0.7983344999956898
SVM,9,591,0.7749576988155669,0.7325054420747329,0.7287995247910226,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.63627339998493,0.8111874999303836
SVM,10,509,0.7465618860510805,0.6757140885430359,0.6420866011354264,"{'clf__C': 1, 'clf__gamma': 'scale'}",63.52833609998925,1.8900919999578036
SVM,11,518,0.8204633204633205,0.8407334128748537,0.798404736794828,"{'clf__C': 1, 'clf__gamma': 'scale'}",51.24591500000679,0.8824815000116359
SVM,12,507,0.814595660749507,0.7074488011988013,0.7202059242127735,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.6640625,0.8869395000510849
SVM,13,752,0.8949468085106383,0.8304030559066169,0.8249348719741011,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.638887999986764,0.8970104999025352
SVM,14,775,0.8141935483870968,0.728758745416862,0.6962481369789482,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.008577100001276,0.8728984999470413
SVM,15,610,0.8540983606557377,0.7898724620753153,0.7594111225871372,"{'clf__C': 1, 'clf__gamma': 'scale'}",49.022913099994184,0.8286964999570046
SVM,16,681,0.8604992657856094,0.7979569042069042,0.7830662705964436,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.79601619997993,0.8259309999994002
SVM,17,703,0.8406827880512091,0.7422720233695843,0.7396694437182172,"{'clf__C': 1, 'clf__gamma': 'scale'}",49.85146299999906,0.8183835000090767
SVM,18,640,0.8453125,0.7677492565573961,0.7516540587192405,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.67142060000333,0.884053500049049
SVM,19,716,0.8058659217877095,0.767576088097208,0.734349158348553,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.26191390000167,1.0996945000078995
SVM,20,599,0.7813021702838063,0.6533662869460859,0.6323565548299501,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.79613519998384,0.984543000085978
SVM,21,607,0.8500823723228995,0.7781249147899629,0.7633188406818359,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.59189440001501,0.8023155000410043
SVM,22,722,0.7562326869806094,0.6754616054157325,0.6670333884579044,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.516589500010014,0.8191695000277832
SVM,23,704,0.7301136363636364,0.6830814670538607,0.6590606352335134,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.26013239999884,0.869578999991063
SVM,24,653,0.8346094946401225,0.776209340437022,0.7314764320946905,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.821389899996575,0.8201584999915212
SVM,25,616,0.7305194805194806,0.7095603101149592,0.6600836994324182,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.1660991999961,0.8735480000905227
SVM,26,789,0.6945500633713562,0.6811459652570824,0.631846223951487,"{'clf__C': 1, 'clf__gamma': 'scale'}",46.10695200000191,0.8052244999271352
SVM,27,694,0.9020172910662824,0.8239458726055332,0.8266852507869773,"{'clf__C': 1, 'clf__gamma': 'scale'}",49.09818780000205,0.8697000000393018
SVM,28,700,0.8,0.705987047656434,0.6944196680825757,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.50631159998011,0.8113505000073928
