comparison_name,model,condition_a,condition_b,mean_a,mean_b,delta,W_statistic,z_score,p_value,significant,cohen_d,p_holm,p_bh,sig_holm_.05,sig_bh_.05
1_norm_contribution,SVM,full72_global,full72_persubj,0.708,0.7767,0.0687,16.0,,0.0,True,1.4769,1.8e-11,3.6e-12,True,True
1_norm_contribution,RF,full72_global,full72_persubj,0.7219,0.7732,0.0514,26.0,,0.0,True,1.0376,1.8e-11,3.6e-12,True,True
1_norm_contribution,CNN,full72_global,full72_persubj,0.6816,0.7537,0.0721,23.0,,0.0,True,0.8805,1.8e-11,3.6e-12,True,True
2_featsel_indep_global,SVM,full72_global,rfe36_global,0.708,0.7092,0.0012,402.0,,0.920592,False,0.0249,1.0,0.920592,False,False
2_featsel_indep_global,SVM,full72_global,mi36_global,0.708,0.7159,0.0079,347.0,,0.404938,False,0.1975,1.0,0.5206345714285715,False,False
2_featsel_indep_global,RF,full72_global,rfe36_global,0.7219,0.7062,-0.0157,162.0,,0.00057,True,-0.5994,0.0062699999999999995,0.0012825,True,True
2_featsel_indep_global,RF,full72_global,mi36_global,0.7219,0.7094,-0.0124,193.0,,0.002908,True,-0.5242,0.02908,0.005816,True,True
3_featsel_marginal_persubj,SVM,full72_persubj,rfe36_persubj,0.7767,0.7804,0.0037,344.0,,0.382645,False,0.1499,1.0,0.5206345714285715,False,False
3_featsel_marginal_persubj,RF,full72_persubj,rfe36_persubj,0.7732,0.7597,-0.0135,145.0,,0.000206,True,-0.6768,0.002472,0.0005297142857142857,True,True
4_cnn_aug_indep_global,CNN,full72_global,gaussian_global,0.6816,0.6729,-0.0087,330.0,,0.288658,False,-0.1664,1.0,0.432987,False,False
4_cnn_aug_indep_global,CNN,full72_global,chandrop_global,0.6816,0.6809,-0.0007,395.0,,0.847156,False,-0.0111,1.0,0.8969887058823529,False,False
4_cnn_aug_indep_global,CNN,full72_global,timemask_global,0.6816,0.6639,-0.0177,233.0,,0.016506,True,-0.3848,0.148554,0.0297108,False,True
5_cnn_aug_marginal_persubj,CNN,full72_persubj,gaussian_persubj,0.7537,0.7599,0.0062,280.0,,0.081714,False,0.2673,0.653712,0.13371381818181816,False,False
5_cnn_aug_marginal_persubj,CNN,full72_persubj,chandrop_persubj,0.7537,0.7567,0.003,392.0,,0.816039,False,0.0853,1.0,0.8969887058823529,False,False
5_cnn_aug_marginal_persubj,CNN,full72_persubj,timemask_persubj,0.7537,0.7508,-0.0029,395.0,,0.847156,False,-0.0842,1.0,0.8969887058823529,False,False
6_end_to_end,SVM,full72_global,rfe36_persubj,0.708,0.7804,0.0724,12.0,,0.0,True,1.5792,1.8e-11,3.6e-12,True,True
6_end_to_end,RF,full72_global,rfe36_persubj,0.7219,0.7597,0.0379,103.0,,1e-05,True,0.7508,0.00013000000000000002,3e-05,True,True
6_end_to_end,CNN,full72_global,gaussian_persubj,0.6816,0.7599,0.0783,19.0,,0.0,True,0.9705,1.8e-11,3.6e-12,True,True
