model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
RF,1,690,0.5942028985507246,0.4193844570178091,0.4244719302484797,"{'max_depth': None, 'n_estimators': 500}",176.52646839997033,0.8123274997342378
RF,2,520,0.8673076923076923,0.7877462801301559,0.7888253638319952,"{'max_depth': None, 'n_estimators': 500}",309.4356851000339,0.9494544999324716
RF,3,594,0.835016835016835,0.7057288933972274,0.7293101411536833,"{'max_depth': None, 'n_estimators': 500}",599.8674866000074,0.8432155000627972
RF,4,556,0.710431654676259,0.6659637638897133,0.6360772198395307,"{'max_depth': None, 'n_estimators': 500}",184.56880639999872,0.8713890000944957
RF,5,708,0.5353107344632768,0.5461028586976533,0.5250138663256095,"{'max_depth': None, 'n_estimators': 500}",341.9839180999552,0.7281605000025593
RF,6,583,0.7787307032590052,0.695039967538621,0.699018829547103,"{'max_depth': None, 'n_estimators': 500}",687.7696075999993,0.7406280000577681
RF,7,600,0.7483333333333333,0.690616764880695,0.6784551137528183,"{'max_depth': None, 'n_estimators': 500}",862.9568335000076,0.8233684999868274
RF,8,574,0.794425087108014,0.6745607106072222,0.6651032270972994,"{'max_depth': None, 'n_estimators': 500}",626.3178087999695,0.4466720001073554
RF,9,591,0.7901861252115059,0.7248639969876144,0.734867379721895,"{'max_depth': None, 'n_estimators': 200}",148.53249819999974,0.202219000000241
RF,10,509,0.6856581532416502,0.6050166938324834,0.5506051572212768,"{'max_depth': None, 'n_estimators': 500}",227.89149730000008,0.4709220000017922
RF,11,518,0.862934362934363,0.8486320575216808,0.8257828021228495,"{'max_depth': None, 'n_estimators': 500}",410.2332818000005,0.9181059999991704
RF,12,507,0.7790927021696252,0.6168831168831168,0.6485721536922777,"{'max_depth': None, 'n_estimators': 400}",664.3043100000004,0.6425125000032494
RF,13,752,0.8949468085106383,0.8156858774613501,0.8198306335963698,"{'max_depth': None, 'n_estimators': 500}",704.5903238000001,0.5046559999982492
RF,14,775,0.8270967741935484,0.7244380109489996,0.7151039692328178,"{'max_depth': None, 'n_estimators': 400}",618.0533090999998,0.3975099999979647
RF,15,610,0.8295081967213115,0.7275932520837187,0.7169230990126512,"{'max_depth': None, 'n_estimators': 200}",759.5767936999991,0.4028860000016721
RF,16,681,0.8839941262848752,0.8086420523920523,0.8274899851876842,"{'max_depth': None, 'n_estimators': 500}",919.6413700000012,0.4844379999940429
RF,17,703,0.8406827880512091,0.7328089254918523,0.7418135713974416,"{'max_depth': None, 'n_estimators': 400}",1099.5333071000005,0.4421749999983149
RF,18,640,0.8546875,0.7595220912808122,0.7672428207487914,"{'max_depth': None, 'n_estimators': 400}",1305.182770400001,0.4478805000053398
RF,19,716,0.8226256983240223,0.7364027888613999,0.7398205196354635,"{'max_depth': None, 'n_estimators': 500}",1528.4398612000005,0.5592519999936485
RF,20,599,0.8163606010016694,0.7039933391543919,0.6888198048192545,"{'max_depth': None, 'n_estimators': 400}",1906.4433253000009,0.4857665000054112
RF,21,607,0.8451400329489291,0.7377722129311723,0.7353950684232352,"{'max_depth': None, 'n_estimators': 500}",159.43258089999995,0.5120974999999817
RF,22,722,0.7867036011080333,0.673643754678505,0.6796865945850759,"{'max_depth': None, 'n_estimators': 400}",237.29447820000007,0.3609159999996336
RF,23,704,0.7997159090909091,0.7484741801608705,0.7290606198132801,"{'max_depth': None, 'n_estimators': 400}",359.07400039999993,0.422590499999842
RF,24,653,0.8392036753445635,0.7630326755933686,0.7308889040153079,"{'max_depth': None, 'n_estimators': 500}",447.9789152999999,0.4216674999997849
RF,25,616,0.7435064935064936,0.7427100551802203,0.696560892015101,"{'max_depth': None, 'n_estimators': 400}",571.1207375999998,0.5061769999997523
RF,26,789,0.7782002534854245,0.6989946103555631,0.6820463112938842,"{'max_depth': None, 'n_estimators': 500}",619.8478012,0.5554690000008122
RF,27,694,0.8717579250720461,0.76637590520079,0.7717689026708487,"{'max_depth': None, 'n_estimators': 400}",705.2908322000003,0.4632700000001932
RF,28,700,0.8357142857142857,0.7230517569535193,0.7354245292418042,"{'max_depth': None, 'n_estimators': 400}",1217.9142769,0.6362749999971129
RF,29,736,0.8383152173913043,0.7264309382164171,0.7353123566026012,"{'max_depth': None, 'n_estimators': 400}",1133.182941,0.4657064999992144
RF,30,654,0.8425076452599388,0.6999917375857226,0.6954600071736012,"{'max_depth': None, 'n_estimators': 500}",1014.4489498999992,0.5487610000000132
RF,31,758,0.7783641160949868,0.6454173486088379,0.6289474009175632,"{'max_depth': None, 'n_estimators': 500}",1437.7006576999993,0.5480414999965433
RF,32,686,0.8440233236151603,0.7585234320515177,0.7595207950259852,"{'max_depth': None, 'n_estimators': 400}",132.61304500000188,0.4172594999909051
RF,33,692,0.8815028901734104,0.7960016420361248,0.8009433980336332,"{'max_depth': None, 'n_estimators': 500}",206.2084360000008,0.5942119999963325
RF,34,632,0.8670886075949367,0.7973953552574876,0.7892103918850752,"{'max_depth': None, 'n_estimators': 500}",319.2746702000004,0.4784524999922723
RF,35,852,0.7664319248826291,0.690182334984885,0.6689460392475081,"{'max_depth': None, 'n_estimators': 500}",385.3140267999988,0.7900779999908991
RF,36,734,0.8147138964577657,0.7205378250591017,0.7025865184783591,"{'max_depth': None, 'n_estimators': 500}",136.09807399999772,0.4664604999925359
RF,37,680,0.8955882352941177,0.8022980581587522,0.812952474022901,"{'max_depth': None, 'n_estimators': 500}",199.95722190000015,0.4693299999962619
RF,38,671,0.8584202682563339,0.7221428529921086,0.7346218941336603,"{'max_depth': None, 'n_estimators': 500}",293.6739238000009,0.48389550000138115
RF,39,693,0.8744588744588745,0.7219534632034631,0.721654205873116,"{'max_depth': None, 'n_estimators': 500}",379.1086486000022,0.49024350000763667
RF,40,648,0.8672839506172839,0.7411490951166578,0.7435841400115946,"{'max_depth': None, 'n_estimators': 400}",491.22656629999983,0.4447855000034906
